year;RU ALL;RU CITY;RU RURAL;BELG ALL;BELG CITY;BELG RURAL
1990;147969406;109070633;38898774;1392730;884089;508639
1991;148394216;109381396;39012820;1401467;894926;506539
1993;148458777;108486604;39972173;1427144;915713;511430
1994;148407912;108313246;40094666;1444738;927523;517214
1995;148375787;108316182;40059604;1461246;938752;522492
1996;148160129;108249218;39910911;1473060;949464;523595
1997;147915361;108149286;39766075;1482212;958945;523266
1998;147670784;108082033;39588751;1490344;967051;523292
1999;147214776;107736374;39478402;1498286;974004;524281
2000;146596869;107245609;39351259;1504346;979605;524739
2001;145976482;106898541;39077941;1507554;982923;524631
2002;145306497;106523307;38783190;1510025;985073;524950
2003;144648618;106180380;38468238;1512879;987961;524917
2004;144067316;105610816;38456499;1512761;989390;523370
2005;143518814;105000366;38518448;1511688;990655;521032
2006;143049637;104775156;38274480;1512934;994292;518640
2007;142805114;104798400;38006713;1517127;1000116;517011
2008;142742366;104890296;37852069;1523180;1004000;519179
2009;142785348;104988448;37796901;1529019;1007042;521976
2010;142849468;105241319;37608149;1532067;1011823;520244
2011;142960908;105581615;37379293;1534213;1017142;517070
2015;146405999;108469827;37936172;1549037;1037908;511128
2016;146674541;108844898;37829643;1551500;1042309;509191
2017;146842401;109179631;37662771;1551370;1044745;506626
2018;146830575;109390215;37440360;1548647;1044151;504495
2019;146764655;109508001;37256654;1548284;1044655;503628
2020;146459803;109407058;37052745;1545205;1043414;501790
