year;RU ALL;RU CITY;PER_RU_CITY;RU RURAL;PER_RU_RURAL;BELG ALL;BELG CITY;PER_BELG_CITY;BELG RURAL;PER_BELG_RURAL;RU ALL prirost;RU CITY prirost;RU RURAL prirost;BELG ALL prirost;BELG CITY prirost;BELG RURAL prirost;RU ALL rojdaemost;RU CITY rojdaemost;RU RURAL rojdaemost;BELG ALL rojdaemost;BELG CITY rojdaemost;BELG RURAL rojdaemost;RU ALL smertnost;RU CITY smertnost;RU RURAL smertnost;BELG ALL smertnost;BELG CITY smertnost;BELG RURAL smertnost;RU mejregion;BELG mejregion;RU mejdunarod;BELG mejdunarod;RU zarubej;BELG zarubej;RU obshee;BELG obshee
1990;147969406;109070633;73.71;38898774;26.29;1392730;884089;63.48;508639;36.52;332865;245634;87231;125;3631;-3506;1988857;1386247;602611;18034;11953;6082;1655993;1140613;515379;17910;8322;9588;;;;;;;;
1991;148394216;109381396;73.71;39012820;26.29;1401467;894926;63.86;506539;36.14;103968;61629;42339;-2533;1540;-4073;1794626;1230516;564110;16169;10538;5630;1690657;1168887;521770;18702;8999;9703;;;;;;;;
1993;148458777;108486604;73.08;39972173;26.92;1427144;915713;64.16;511430;35.84;-750356;-557832;-192524;-8292;-1931;-6361;1378983;930529;448452;13751;8903;4849;2129339;1488362;640976;22043;10834;11210;;;;;;;;
1994;148407912;108313246;72.98;40094666;27.02;1444738;927523;64.2;517214;35.8;-893207;-654570;-238637;-8332;-2021;-6311;1408159;960412;447745;14155;9179;4976;2301366;1614982;686382;22487;11200;11287;;;;;;;;
1995;148375787;108316182;73.0;40059604;27.0;1461246;938752;64.24;522492;35.76;-840005;-620722;-219283;-7946;-2064;-5882;1363806;933459;430346;13695;8746;4950;2203811;1554181;649628;21642;10809;10832;;;;;;;;
1996;148160129;108249218;73.06;39910911;26.94;1473060;949464;64.46;523595;35.54;-777611;-548084;-229527;-8469;-2282;-6187;1304638;897897;406739;12952;8316;4637;2082249;1445982;636266;21421;10598;10824;;;;;;;;
1997;147915361;108149286;73.12;39766075;26.88;1482212;958945;64.7;523266;35.3;-755836;-517558;-238278;-9586;-3094;-6492;1259943;870212;389729;12010;7846;4165;2015779;1387771;628007;21596;10940;10657;26463.0;6818.0;364664.0;8691.0;-68704.0;-211.0;391127.0;15509.0
1998;147670784;108082033;73.19;39588751;26.81;1490344;967051;64.89;523292;35.11;-705452;-492135;-213317;-9348;-2989;-6359;1283292;887668;395623;11899;7669;4229;1988744;1379803;608940;21247;10658;10589;21024.0;7565.0;300174.0;9346.0;-61628.0;-216.0;321198.0;16911.0
1999;147214776;107736374;73.18;39478402;26.82;1498286;974004;65.01;524281;34.99;-929627;-656826;-272801;-11161;-4124;-7037;1214689;842639;372048;11406;7434;3973;2144316;1499466;644850;22568;11558;11009;19259.0;9403.0;164763.0;7436.0;-72188.0;-314.0;184022.0;16839.0
2000;146596869;107245609;73.16;39351259;26.84;1504346;979605;65.12;524739;34.88;-958532;-677126;-281406;-11190;-4190;-7000;1266800;886907;379891;12101;7959;4140;2225332;1564034;661298;23291;12149;11141;28145.0;6852.0;213610.0;8049.0;-53242.0;-167.0;241755.0;14901.0
2001;145976482;106898541;73.23;39077941;26.77;1507554;982923;65.2;524631;34.8;-943252;-663612;-279640;-11899;-4662;-7237;1311604;928642;382961;12306;8158;4149;2254856;1592253;662601;24206;12820;11385;9497.0;6493.0;72284.0;4621.0;-51397.0;-230.0;81781.0;11114.0
2002;145306497;106523307;73.31;38783190;26.69;1510025;985073;65.24;524950;34.76;-935305;-640766;-294539;-11444;-4174;-7270;1396967;998055;398910;13037;8784;4252;2332272;1638822;693449;24481;12958;11522;9222.0;7131.0;77927.0;5476.0;-46418.0;-143.0;87149.0;12607.0
